prompt;permission
"""I need to update basic properties on device registration policies.""";microsoft.directory/deviceRegistrationPolicy/basic/update
"""I need to manage all properties of Conditional Access policies.""";microsoft.directory/conditionalAccessPolicies/allProperties/allTasks
"""I need to read standard properties of federation configuration for domains.""";microsoft.directory/domains/federationConfiguration/standard/read
"""I need to deploy and manage programs in Insights app.""";microsoft.insights/programs/allProperties/update
"""I need to manage admin consent request policies in Microsoft Entra ID.""";microsoft.directory/adminConsentRequestPolicy/allProperties/allTasks
"""I need to read basic properties of a tenant participating in a multi-tenant organization.""";microsoft.directory/multiTenantOrganization/tenants/standard/read
"""I need to read owners of policies.""";microsoft.directory/policies/owners/read
"""I need to grant consent for any permission to any application.""";microsoft.directory/servicePrincipals/managePermissionGrantsForAll.microsoft-company-admin
"""I need to read all properties of directory roles.""";microsoft.directory/directoryRoles/allProperties/read
"""I need to read basic properties on an organization.""";microsoft.directory/organization/standard/read
"""I need to disable service principals.""";microsoft.directory/servicePrincipals/disable
"""I need to read policies.policyAppliedTo property.""";microsoft.directory/policies/policyAppliedTo/read
"""I need to read all aspects of Viva Insights.""";microsoft.insights/allEntities/allProperties/read
"""I need to update custom security attribute values for devices.""";microsoft.directory/devices/customSecurityAttributes/update
"""I need to create custom rules that define network locations.""";microsoft.directory/namedLocations/create
"""I need to read members of administrative units.""";microsoft.directory/administrativeUnits/members/read
"""I need to read analytics reports of content understanding in Microsoft 365 admin center.""";microsoft.office365.knowledge/contentUnderstanding/analytics/allProperties/read
"""I need to read all properties of private network connectors.""";microsoft.directory/connectors/allProperties/read
"""I need to manage aspects of Microsoft Graph Data Connect.""";microsoft.graph.dataConnect/allEntities/allProperties/allTasks
"""I need to manage access reviews of application role assignments in Microsoft Entra ID.""";microsoft.directory/accessReviews/definitions.applications/allProperties/allTasks
"""I need to manage all aspects of attribute sets.""";microsoft.directory/attributeSets/allProperties/allTasks
"""I need to delete certificate authority configurations for Internet of Things (IoT) device.""";microsoft.directory/certificateBasedDeviceAuthConfigurations/delete
"""I need to update the dynamic membership rule on Security groups, excluding role-assignable groups.""";microsoft.directory/groups.security/dynamicMembershipRule/update
"""I need to read basic properties on devices.""";microsoft.directory/devices/standard/read
"""I need to update basic properties of printers in Microsoft Print.""";microsoft.azure.print/printers/basic/update
"""I need to read all properties (including privileged properties) on all types of applications.""";microsoft.directory/applications/allProperties/read
"""I need to create Conditional Access policies.""";microsoft.directory/conditionalAccessPolicies/create
"""I need to manage all aspects of Dynamics 365.""";microsoft.dynamics365/allEntities/allTasks
"""I need to create all types of applications.""";microsoft.directory/applications/create
"""I need to read all properties of Conditional Access policies.""";microsoft.directory/conditionalAccessPolicies/allProperties/read
"""I need to perform the ``enable directory feature`` service action.""";microsoft.directory/serviceAction/enableDirectoryFeature
"""I need to update Microsoft Entra B2B direct connect settings of the default cross-tenant access policy.""";microsoft.directory/crossTenantAccessPolicy/default/b2bDirectConnect/update
"""I need to manage all aspects of Azure Information Protection.""";microsoft.azure.informationProtection/allEntities/allTasks
"""I need to read standard properties of all resources in the Security and Compliance centers.""";microsoft.office365.protectionCenter/allEntities/standard/read
"""I need to update the extensionAttribute11 to extensionAttribute15 properties on devices.""";microsoft.directory/devices/extensionAttributeSet3/update
"""I need to update authentication properties on service principals.""";microsoft.directory/servicePrincipals/authentication/update
"""I need to update basic properties on devices.""";microsoft.directory/devices/basic/update
"""I need to read service principal role assignments.""";microsoft.directory/servicePrincipals/appRoleAssignedTo/read
"""I need to disable users.""";microsoft.directory/users/disable
"""I need to update basic federation configuration for domains.""";microsoft.directory/domains/federationConfiguration/basic/update
"""I need to read trusted certificate authorities for passwordless authentication.""";microsoft.directory/organization/trustedCAsForPasswordlessAuth/read
"""I need to read the eligible members of Microsoft Entra roles.""";microsoft.directory/directoryRoles/eligibleMembers/read
"""I need to read application role assignments of groups.""";microsoft.directory/groups/appRoleAssignments/read
"""I need to read all properties for Defender for Cloud Apps.""";microsoft.directory/cloudAppSecurity/allProperties/read
"""I need to manage all aspects of Microsoft 365 Backup.""";microsoft.backup/allEntities/allProperties/allTasks
"""I need to read and update what's new messages visibility.""";microsoft.office365.userCommunication/allEntities/allTasks
"""I need to update extension properties on applications.""";microsoft.directory/applications/extensionProperties/update
"""I need to update Microsoft Entra B2B collaboration settings of cross-tenant access policy for partners.""";microsoft.directory/crossTenantAccessPolicy/partners/b2bCollaboration/update
"""I need to read the group memberships on service principals.""";microsoft.directory/servicePrincipals/memberOf/read
"""I need to disable devices in Microsoft Entra ID.""";microsoft.directory/devices/disable
"""I need to update basic properties on Security groups, excluding role-assignable groups.""";microsoft.directory/groups.security/basic/update
"""I need to update all application proxy properties.""";microsoft.directory/applications/applicationProxy/update
"""I need to manage all aspects of Microsoft Edge.""";microsoft.edge/allEntities/allProperties/allTasks
"""I need to read all properties of printers in Microsoft Print.""";microsoft.azure.print/printers/allProperties/read
"""I need to read all properties of access reviews of all reviewable resources in Microsoft Entra ID.""";microsoft.directory/accessReviews/definitions/allProperties/read
"""I need to update applicationsverification property.""";microsoft.directory/applications/verification/update
